id,domain,prompt
2889,Sensors / Environmental Monitoring,"Define acceptance tests and behavior for an air quality guardian monitoring PM2.5 [µg/m3], VOC index, and CO2 [ppm]. Include threshold maps, hysteresis, latching alarms, sensor-fault handling, startup calibration, manual reset behavior, and WCET compliance at 1 Hz."
2890,Sensors / Environmental Monitoring,Create a simple over-temperature alarm: read temperature in degC at 1 Hz and raise an alarm when it exceeds 60 degC. Add 2 degC hysteresis so the alarm clears only when temperature drops to 58 degC or below. Ensure the check runs within a 2 ms WCET.
2891,Sensors / Environmental Monitoring,Monitor relative humidity and trigger a 'high humidity' alarm when RH exceeds 85%. Use percent units [%] and clear the alarm only when RH falls to 80% or less.
2892,Sensors / Environmental Monitoring,Watch ambient pressure and assert an alarm if it is outside 980–1030 hPa. Report the current pressure value alongside the alarm state once per second.
2893,Sensors / Environmental Monitoring,"Detect low light conditions: if illuminance falls below 50 lux for at least 500 ms, set a night_mode flag; clear it after illuminance stays above 70 lux for 1 s. Sampling rate 10 Hz."
2894,Sensors / Environmental Monitoring,"Raise a ventilation_needed flag when CO2 concentration exceeds 1000 ppm, and clear it when CO2 is at or below 900 ppm. Include an on-delay of 3 s to avoid false positives."
2895,Sensors / Environmental Monitoring,Issue an air quality alert if PM2.5 exceeds 35 µg/m3 for more than 60 s. Provide a counter for seconds above threshold.
2896,Sensors / Environmental Monitoring,Generate a freeze_warning when temperature drops below 0 degC. Include a minimum 5 s on-delay to prevent chattering near the threshold.
2897,Sensors / Environmental Monitoring,Signal a dry_air warning when relative humidity falls below 30 [%]. Publish the RH reading every 2 s.
2898,Sensors / Environmental Monitoring,"Compute the heat index from ambient temperature (degC) and relative humidity (%), and raise a heat_stress alarm if the heat index exceeds 40 degC for at least 10 s. Run the calculation at 2 Hz."
2899,Sensors / Environmental Monitoring,Sample temperature in degC at 1 Hz and publish the latest reading plus a 'within_comfort_range' boolean that is true between 20–24 degC.
2900,Sensors / Environmental Monitoring,Report relative humidity [%] once per second and assert a humidifier_needed flag when RH is below 35% (clear at 40%).
2901,Sensors / Environmental Monitoring,Set a bright_light flag when illuminance exceeds 20000 lux. Add hysteresis so it clears only after falling to 15000 lux.
2902,Sensors / Environmental Monitoring,"Assert a poor_tvoc flag when a total VOC index exceeds 5 (unitless scale), and clear it when it falls to 3 or below."
2903,Sensors / Environmental Monitoring,Expose a comfortable_environment flag that is true only when temperature is between 21–23 degC and RH is between 40–60 [%]. Update once per second.
2904,Sensors / Environmental Monitoring,"If both temperature exceeds 35 degC and RH exceeds 70 [%], raise a heat_alert. Clear the alert when either metric returns below those thresholds."
2905,Sensors / Environmental Monitoring,Trigger a warning_beep signal whenever ambient light drops below 10 lux and PM2.5 rises above 25 µg/m3 simultaneously. Evaluate at 5 Hz.
2906,Sensors / Environmental Monitoring,"Build a three-state alarm for temperature: Normal below 50 degC, Warning between 50–60 degC sustained 5 s, and Critical above 60 degC sustained 2 s; include hysteresis of 2 degC on transitions. Update at 5 Hz."
2907,Sensors / Environmental Monitoring,Calculate dew point (degC) from temperature (degC) and RH (%) and assert a condensation_risk alarm when dew point is within 2 degC of measured temperature for longer than 30 s. Ensure decisions within 5 ms WCET.
2908,Sensors / Environmental Monitoring,Monitor barometric pressure trend: compute a 15-minute linear trend (hPa/hour) and raise a storm_warning if the drop exceeds 6 hPa/hour. Use 1 Hz sampling and a sliding window.
2909,Sensors / Environmental Monitoring,"Implement a day/night state machine based on illuminance with thresholds 70 lux (enter night) and 120 lux (enter day), each with a minimum dwell time of 60 s to avoid rapid toggling."
2910,Sensors / Environmental Monitoring,"Create escalating CO2 alarms with three levels: Advisory at ≥800 ppm, Caution at ≥1200 ppm, and Danger at ≥2000 ppm. Include 60 s persistence to escalate and 30 s persistence to de-escalate."
2911,Sensors / Environmental Monitoring,Perform plausibility checking on a humidity sensor: flag sensor_fault if the reading is stuck within ±0.1% for more than 20 s or jumps by more than 15% in one sample. Suppress alarms while faulted.
2912,Sensors / Environmental Monitoring,Apply a moving average (window 10 samples) to PM2.5 readings while also exposing the raw value. Trigger alerts based on the filtered value crossing 25 µg/m3 for 30 s.
2913,Sensors / Environmental Monitoring,"Schedule sensor polls so temperature, humidity, pressure, and light are sampled at 10 Hz, but computed summaries (min/max/average) are updated at 1 Hz. Guarantee per-cycle WCET under 3 ms."
2914,Sensors / Environmental Monitoring,Compute a rolling 5-minute average PM2.5 and raise a long_term_exposure alert if it exceeds 15 µg/m3. Also report the current 1-minute average.
2915,Sensors / Environmental Monitoring,"Detect rapid temperature rise: alarm if temperature increases faster than 0.5 degC per minute, sustained for at least 2 minutes."
2916,Sensors / Environmental Monitoring,"Cross-check two temperature sensors: if their difference exceeds 2 degC for more than 10 s, assert a discrepancy flag; otherwise publish the average temperature (degC)."
2917,Sensors / Environmental Monitoring,"Implement a comfort_index (0–100) derived from temperature (degC) and RH (%), and categorize states as Comfortable (≥80), Moderate (50–79), or Uncomfortable (<50). Provide a corresponding status output."
2918,Sensors / Environmental Monitoring,"Create an air_quality state machine using CO2 (ppm) and PM2.5 (µg/m3): states Good, Fair, Poor, and Hazardous with configurable thresholds and 10 s debounce on transitions."
2919,Sensors / Environmental Monitoring,"Add alarm on-delay/off-delay behavior: for a high humidity alert (>80%), require 15 s above threshold to turn on, and 30 s below 75% to turn off. Run checks at 2 Hz."
2920,Sensors / Environmental Monitoring,"Implement stale_data detection: if any sensor input (temperature, RH, pressure, light) is not updated within 2 s, set a stale flag and inhibit downstream alerts."
2921,Sensors / Environmental Monitoring,"Compute sea-level pressure (hPa) from measured pressure and temperature, using a fixed altitude parameter. Raise an alarm if sea-level pressure is outside 980–1030 hPa."
2922,Sensors / Environmental Monitoring,"Track the daily maximum temperature and time of occurrence. Reset the daily maximum on a daily_reset trigger, and assert a high_temp_today alert if the max exceeds 35 degC."
2923,Sensors / Environmental Monitoring,"Detect long-term sensor drift: maintain a 24-hour exponential moving average of temperature and compare to the last 10-minute average; if the deviation exceeds 3 degC without corresponding RH change (>5%), raise a drift_suspected flag."
2924,Sensors / Environmental Monitoring,"Validate sensor ranges: temperature must be -40 to 85 degC, RH 0–100 %, pressure 300–1100 hPa, light 0–120000 lux. If any reading is out-of-range, raise sensor_range_error and ignore it in calculations."
2925,Sensors / Environmental Monitoring,Combine RH and temperature to compute absolute humidity (g/m3) and assert an alert if it exceeds 20 g/m3 for longer than 1 minute.
2926,Sensors / Environmental Monitoring,"Fuse two redundant temperature sensors and one humidity sensor to estimate operative temperature: reject outliers >3 degC from median, then compute a weighted average and produce a fused temp (degC) plus a sensor_fault flag. Use 5 Hz updates and cap WCET at 4 ms."
2927,Sensors / Environmental Monitoring,Design a PID controller that outputs a recommended fan_speed (0–100%) to keep CO2 near 800 ppm. Use anti-windup clamping and limit rate-of-change to 10%/s. Declare immediate safety override to 100% if CO2 exceeds 3000 ppm.
2928,Sensors / Environmental Monitoring,Apply a Kalman filter to barometric pressure (hPa) to estimate both pressure and its derivative (hPa/s). Trigger a fast_drop alarm if derivative < -0.01 hPa/s for 60 s. Ensure the filter step executes within 3 ms WCET at 10 Hz.
2929,Sensors / Environmental Monitoring,"Fuse illuminance from two light sensors placed at different angles: perform outlier rejection, then compute a weighted lux value and a glare_risk index. Raise glare_alert when glare_risk > 0.7 for 5 s."
2930,Sensors / Environmental Monitoring,Compute altitude (m) from pressure with temperature compensation and a configurable reference pressure. Raise a sudden_altitude_change alert if altitude changes >5 m within 1 s. Sample at 20 Hz with WCET ≤ 2 ms.
2931,Sensors / Environmental Monitoring,"Perform temperature-compensated RH: correct the humidity reading to a 25 degC reference using saturation vapor pressure curves, output corrected_RH [%], and alarm if corrected_RH > 70%."
2932,Sensors / Environmental Monitoring,Fuse CO2 (ppm) and VOC index to compute an indoor air quality score (0–100). Define score bands and drive a four-level alarm with latching behavior on the worst band. Provide de-latch only after 2 minutes in a better band.
2933,Sensors / Environmental Monitoring,Implement dual-sensor voting for temperature (three sensors): use 2-out-of-3 majority voting to produce the reported temperature (degC) and isolate the faulty sensor if it deviates >2 degC from the voted value for 30 s.
2934,Sensors / Environmental Monitoring,"Estimate dew point using a numerically stable method and feed it into a PID that outputs a dehumidify_command (0–100%) to target a dew point of 10 degC. Limit integral windup and saturate output. Safety: if RH exceeds 90%, force output to ≥50%."
2935,Sensors / Environmental Monitoring,"Design a multi-mode environmental monitor with modes Normal, PowerSave, Calibration, and Emergency. Monitor temperature (degC), relative humidity [%], pressure (hPa), light (lux), CO2 (ppm), and PM2.5 (µg/m3). Define mode-specific sampling rates (e.g., Normal 10 Hz, PowerSave 1 Hz), alarm behaviors, and transitions (e.g., enter Emergency on CO2 ≥ 3000 ppm or temperature ≥ 70 degC). Enforce a per-cycle WCET ≤ 5 ms and deterministic state transitions. Provide clear mode status outputs."
2936,Sensors / Environmental Monitoring,"Create a fault-tolerant monitoring system with dual temperature sensors and dual humidity sensors. Implement automatic failover, sensor voting, and a degraded_mode when redundancy is lost. Include startup self-tests (range checks in degC, %, hPa, lux, ppm) and periodic built-in tests every 10 minutes. Specify comprehensive tests for thresholds, hysteresis, and persistence timers."
2937,Sensors / Environmental Monitoring,"Implement an adaptive threshold manager with Day and Night modes (based on light in lux) and Seasonal profiles (Heatwave vs ColdSnap selected via configuration). Adjust limits for temperature (degC), RH (%), and CO2 (ppm) per mode, with a top-level state machine coordinating mode transitions. Provide verification requirements: boundary tests for each threshold, mode transition coverage, and timing checks (decision latency < 50 ms)."
2938,Sensors / Environmental Monitoring,"Build an alarm orchestrator that consolidates multiple environmental alerts (CO2, PM2.5, temperature, humidity) into unified Normal/Advisory/Caution/Danger system states. Include latching of Danger until acknowledged and safe auto-clear rules, prioritization when multiple sources compete, and a heartbeat output. Mandate WCET ≤ 3 ms and provide a test plan with fault injection (stuck readings, noise bursts)."
2939,Sensors / Environmental Monitoring,"Specify a greenhouse safety monitor with modes Normal, Ventilate, and Evacuate. Use temperature (degC), RH (%), CO2 (ppm), and light (lux) to drive transitions, with Evacuate entered immediately on CO2 ≥ 5000 ppm or temperature ≥ 80 degC. Include a sensor_fault handling strategy (enter FailSafe if any reading is out-of-range), rate limiting on mode changes (≥30 s dwell), and exhaustive acceptance tests (boundary values, timing, and fault scenarios)."
2940,Sensors / Environmental Monitoring,"Monitor a temperature sensor in [degC]; if it exceeds 50 [degC], turn on an alarm and latch it until the reading falls below 45 [degC]. Sample once per second."
2941,Sensors / Environmental Monitoring,"Please read humidity in [%]; when below 30 [%], illuminate a warning LED; when above 70 [%], sound a buzzer. Keep alarms mutually exclusive."
2942,Sensors / Environmental Monitoring,"Keep it simple: measure ambient light in lux and switch a status LED on when it falls below 100 lux, off above 150 lux. Include a 2 second delay before changing state to avoid flicker."
2943,Sensors / Environmental Monitoring,Measure barometric pressure in hPa; raise a warning if it drops more than 5 hPa within 10 minutes. Ignore changes smaller than 0.5 hPa.
2944,Sensors / Environmental Monitoring,"Continuously display temperature in [degC] and humidity in [%] at 2 Hz; if either sensor fails to update for 5 seconds, flash an alarm indicator."
2945,Sensors / Environmental Monitoring,"If temperature rises above 80 [degC], cut power to a heater relay and assert an overheat alarm; automatically clear when back below 70 [degC]."
2946,Sensors / Environmental Monitoring,"Read air quality (TVOC) in ppb; if above 600 ppb for more than 10 seconds, trigger ventilation alarm and log the event timestamp."
2947,Sensors / Environmental Monitoring,"When humidity exceeds 85 [%], show 'condensation risk' on an indicator; clear when below 80 [%]. Check every 500 ms."
2948,Sensors / Environmental Monitoring,"Compute heat index from temperature [degC] and humidity [%]; if heat index > 35 [degC], activate a warning LED."
2949,Sensors / Environmental Monitoring,"Sample pressure at 1 Hz; if absolute pressure < 950 hPa, beep twice per minute until it returns to >= 950 hPa."
2950,Sensors / Environmental Monitoring,"Monitor temperature [degC]; if it changes faster than 2 [degC]/min, blink an alert to indicate rapid thermal shift."
2951,Sensors / Environmental Monitoring,"At very bright light levels > 50,000 lux, assert a 'bright light' warning; otherwise keep off. Update at 10 Hz."
2952,Sensors / Environmental Monitoring,Trigger an alarm if humidity [%] sensor reads invalid or out of range (<0 [%] or >100 [%]); otherwise do nothing.
2953,Sensors / Environmental Monitoring,"Read CO2 in ppm; if above 1200 ppm, turn on a ventilation request output; clear when below 1000 ppm. Limit evaluation to once per second."
2954,Sensors / Environmental Monitoring,"Display dew point computed from temperature [degC] and humidity [%]; if dew point is within 2 [degC] of ambient, flag a condensation warning."
2955,Sensors / Environmental Monitoring,Create a two-state monitor for temperature [degC]: NORMAL and OVERHEAT. Transition to OVERHEAT when >= 75 [degC] for 3 consecutive samples at 2 Hz; transition back to NORMAL when <= 70 [degC]. Drive separate LEDs for each state.
2956,Sensors / Environmental Monitoring,"Implement humidity [%] hysteresis control with a fan output: turn fan on above 65 [%], off below 55 [%]. Add a safety alarm if temperature exceeds 60 [degC] at any time."
2957,Sensors / Environmental Monitoring,"Combine temperature [degC] and humidity [%] to compute a comfort index; set three indicator levels: COMFORT, WARM, HUMID. Update at 5 Hz with debouncing so that state changes require stability for 2 seconds."
2958,Sensors / Environmental Monitoring,"Monitor pressure trend using a rolling window over 10 minutes sampled at 0.5 Hz. If pressure drops steadily and temperature [degC] is below 5 [degC], raise a storm alert."
2959,Sensors / Environmental Monitoring,Make the alarm buzzer pattern different for high temperature (> 80 [degC]) and high humidity (> 90 [%]); ensure only the highest severity pattern plays when both occur.
2960,Sensors / Environmental Monitoring,"Track minimum and maximum temperature [degC] and humidity [%] over the last 24 hours; reset the extrema at midnight, and raise an alarm if the daily max temperature exceeds 70 [degC]."
2961,Sensors / Environmental Monitoring,"Design a state machine with states: INIT, MONITORING, SENSOR_FAULT, ALARM_SILENCED. On startup (INIT), check sensor presence; enter MONITORING if OK. If sensor gives out-of-range values, go to SENSOR_FAULT. If alarm is active and a user silences it, stay in ALARM_SILENCED for 5 minutes before returning to MONITORING."
2962,Sensors / Environmental Monitoring,"Sample light level at 20 Hz and compute a moving average over 1 second. Use averaged value to control an indicator with thresholds at 50 lux and 200 lux, with 10% hysteresis."
2963,Sensors / Environmental Monitoring,"Implement rate limiting: publish temperature [degC] and humidity [%] readings no faster than 1 Hz, but compute alarms internally at 10 Hz."
2964,Sensors / Environmental Monitoring,"If temperature [degC] surpasses a configurable threshold T_high and humidity [%] exceeds H_high simultaneously, raise a combined 'heat stress' alarm; include a 30-second hold-on after clearing."
2965,Sensors / Environmental Monitoring,"Detect sensor stall: if the pressure reading remains unchanged to within 0.1 hPa for 2 minutes while temperature [degC] varies by more than 1 [degC], flag a pressure sensor fault."
2966,Sensors / Environmental Monitoring,"Schedule periodic self-checks: every hour, take 5 rapid samples at 50 Hz of temperature [degC] to assess noise; if standard deviation exceeds 0.5 [degC], mark sensor degraded and light a warning."
2967,Sensors / Environmental Monitoring,"Implement sunrise detection using light readings: when lux crosses from below 50 to above 300 lux within 10 minutes and humidity [%] is below 95 [%], assert 'daytime' state."
2968,Sensors / Environmental Monitoring,"Add a manual alarm acknowledge input that silences active alarms for 15 minutes, but only if temperature is under 60 [degC]; otherwise ignore the acknowledge."
2969,Sensors / Environmental Monitoring,"Compute absolute humidity from temperature [degC] and relative humidity [%], and trigger a 'dry air' alert if absolute humidity falls below 5 g/m^3 for more than 2 minutes."
2970,Sensors / Environmental Monitoring,"Monitor air quality index derived from PM2.5 and TVOC; select one of four LEDs: GOOD, FAIR, POOR, HAZARDOUS. If any sensor fails, blink the HAZARDOUS LED until recovery."
2971,Sensors / Environmental Monitoring,"Implement a watchdog on sensor update timing: if any of temperature [degC], humidity [%], or pressure fails to update within 1 second of its expected rate, raise a 'data timeout' alarm."
2972,Sensors / Environmental Monitoring,"Add hysteresis and debounce to a condensation risk alarm: compute dew point and compare to ambient temperature [degC]; alarm when T - Td < 1.5 [degC] for 3 seconds, clear when T - Td > 2.5 [degC]."
2973,Sensors / Environmental Monitoring,"Design an averaging filter for CO2 ppm readings sampled at 2 Hz, rejecting spikes greater than 15% from the previous average. Raise an alarm if the filtered value exceeds 1500 ppm for more than 60 seconds."
2974,Sensors / Environmental Monitoring,"Detect rapid light transitions indicating flicker: if lux varies by more than 20% peak-to-peak within 100 ms for 5 consecutive windows, set a 'flicker detected' flag; ensure CPU utilization stays under 10%."
2975,Sensors / Environmental Monitoring,Maintain a target temperature of 25 [degC] using a fan with PID control on error; enforce output saturation limits and raise an overrun alarm if the control loop misses its 50 ms deadline (WCET 10 ms).
2976,Sensors / Environmental Monitoring,"Fuse two redundant temperature sensors (A and B) in [degC] using a median or outlier-rejecting average; if |A-B| > 2 [degC] for more than 5 seconds, declare a disagreement fault and prefer the lower reading for safety."
2977,Sensors / Environmental Monitoring,Estimate room humidity [%] using a complementary filter combining a slow accurate sensor and a fast noisy sensor. Use the estimate for alarms and report both raw and fused values at 1 Hz.
2978,Sensors / Environmental Monitoring,Implement a barometric pressure trend estimator with a Kalman filter at 5 Hz; issue an early storm warning when the filtered drop rate exceeds 1 hPa/hour while temperature [degC] < 10 [degC].
2979,Sensors / Environmental Monitoring,"Control a dehumidifier with PID on humidity [%] to maintain 55 [%], with integral windup protection and a failsafe that shuts down if temperature exceeds 50 [degC]. Log any time the actuator saturates for more than 30 seconds."
2980,Sensors / Environmental Monitoring,"Perform sensor fusion for light using two photodiodes with different ranges; combine to produce a continuous lux estimate and detect saturation. If both saturate and temperature [degC] > 70 [degC], trigger thermal caution."
2981,Sensors / Environmental Monitoring,"Implement a robust dew point calculation using fused temperature [degC] and humidity [%]; if dew point approaches ambient within 1 [degC] while pressure drops > 2 hPa in 30 minutes, escalate to a high-risk condensation alarm."
2982,Sensors / Environmental Monitoring,"Design a multi-variable air quality index combining CO2, TVOC, and PM2.5; apply exponential smoothing with a 30-second time constant. If index crosses a severe threshold for 2 minutes, assert ALARM and rate-limit alarm toggling to once every 60 seconds."
2983,Sensors / Environmental Monitoring,"Execute a periodic self-calibration mode every 24 hours: compare two temperature [degC] sensors, adjust an offset if drift < 0.5 [degC]. Abort calibration and raise a fault if temperature changes faster than 1 [degC]/min during the process."
2984,Sensors / Environmental Monitoring,"Implement a 100 Hz monitoring loop with WCET 5 ms that computes heat index and triggers fan boost when heat index > 32 [degC]. If WCET is exceeded, set a performance fault and degrade the loop to 50 Hz."
2985,Sensors / Environmental Monitoring,"Build a multi-mode environmental monitor with modes: NORMAL, ALERT, EMERGENCY, CALIBRATION, and MAINTENANCE. Inputs: temperature [degC], humidity [%], pressure, light, CO2. Define transitions based on thresholds (e.g., EMERGENCY if temperature > 85 [degC] or CO2 > 2000 ppm), allow manual entry into CALIBRATION and MAINTENANCE, and ensure alarms behave differently per mode."
2986,Sensors / Environmental Monitoring,"Specify a comprehensive test plan for a humidity [%] and temperature [degC] alarm system: include boundary tests at thresholds, hysteresis behavior, sensor dropout, stuck-at faults, timing jitter up to 20 ms, and verification that alarm latching and manual acknowledge work correctly."
2987,Sensors / Environmental Monitoring,"Create a resilient monitoring system with dual redundant sensors for temperature [degC] and humidity [%] plus a single pressure sensor. Use majority voting, detect and isolate a faulty channel, and continue operation in a degraded mode with clear annunciation. Include timing constraints: 10 Hz sample rate, WCET 6 ms."
2988,Sensors / Environmental Monitoring,"Design a greenhouse monitor with modes DAY and NIGHT affecting alarm thresholds for temperature [degC] and humidity [%]. Incorporate PID humidity control in DAY only, and require deterministic behavior: worst-case alarm evaluation must complete within 8 ms at 20 Hz. Provide an operator test sequence to validate all modes."
2989,Sensors / Environmental Monitoring,"Specify a full-featured air quality monitor that fuses CO2, TVOC, PM2.5, and temperature [degC] into a health score. Include NORMAL/WARNING/CRITICAL modes, watchdogs for data freshness, self-test on startup, hysteresis and debounce, detailed alarm logic, and a requirement to log and time-stamp every mode transition."
2990,Sensors / Environmental Monitoring,Read the ambient temperature in [degC] once per second and turn on a red alarm indicator if it exceeds 45 degC; turn it off otherwise.
2991,Sensors / Environmental Monitoring,Monitor relative humidity in [%] and activate a warning buzzer whenever humidity falls below 30%.
2992,Sensors / Environmental Monitoring,"Sample barometric pressure in hPa; if pressure drops below 980 hPa, switch on a yellow alert LED."
2993,Sensors / Environmental Monitoring,"If PM2.5 concentration exceeds 35 ug/m3, raise an air quality alarm; otherwise keep the alarm silent."
2994,Sensors / Environmental Monitoring,"Drive a heater output ON when temperature is below 18 [degC], and OFF when temperature is at or above 18 [degC]."
2995,Sensors / Environmental Monitoring,Switch a dehumidifier ON when humidity is above 65 [%]; turn it OFF when humidity is 65% or less.
2996,Sensors / Environmental Monitoring,Trigger a freeze warning if temperature drops below 0 [degC]; clear the warning when temperature rises to or above 0 [degC].
2997,Sensors / Environmental Monitoring,Control a status LED to blink slowly when air quality is good (CO2 <= 800 ppm) and glow solid when CO2 > 800 ppm.
2998,Sensors / Environmental Monitoring,Raise a glare alert if ambient light exceeds 20000 lux; no alert otherwise.
2999,Sensors / Environmental Monitoring,"Every 500 ms, read humidity [%]; if it is between 40% and 60%, set a comfort flag, else clear it."
3000,Sensors / Environmental Monitoring,Turn on an alarm relay when temperature exceeds 60 [degC]; this is a safety cutoff.
3001,Sensors / Environmental Monitoring,"Set a visual indicator to green if pressure is between 990 and 1020 hPa, otherwise set it to red."
3002,Sensors / Environmental Monitoring,"If relative humidity reaches 90 [%] or more, emit a beeping alarm; stop beeping when it falls below 90 [%]."
3003,Sensors / Environmental Monitoring,"Publish a simple status message: SAFE when temperature is <= 35 [degC] and humidity <= 70 [%], otherwise UNSAFE."
3004,Sensors / Environmental Monitoring,Sound an air quality alarm if TVOC index is above 5; silence it otherwise.
3005,Sensors / Environmental Monitoring,"Implement humidity control with hysteresis: turn dehumidifier ON when humidity > 65 [%], OFF when humidity < 55 [%]; also raise a high humidity alarm if humidity stays > 80 [%] for more than 2 minutes."
3006,Sensors / Environmental Monitoring,"Read two independent temperature sensors in [degC]; if their difference exceeds 2 [degC], latch a sensor fault alarm; otherwise use the lower of the two for safety decisions."
3007,Sensors / Environmental Monitoring,Compute dew point [degC] from ambient temperature [degC] and relative humidity [%]; assert a condensation warning when dew point is within 2 [degC] of a provided surface temperature input.
3008,Sensors / Environmental Monitoring,"Design a simple state machine with states Idle, Monitoring, and Alarm. Begin in Idle for 5 s warm-up, then Monitoring. Transition to Alarm if temperature > 55 [degC] or humidity > 90 [%]. Provide a manual acknowledge input to silence the buzzer but keep Alarm state latched until conditions return to safe levels."
3009,Sensors / Environmental Monitoring,Track barometric pressure and generate a storm alert if pressure falls by more than 5 hPa within 30 minutes; clear the alert when the trend stabilizes.
3010,Sensors / Environmental Monitoring,"Generate graded ventilation signals based on CO2: Level 0 if <= 800 ppm, Level 1 if 801-1200 ppm, Level 2 if 1201-2000 ppm, and an alarm if > 2000 ppm; include hysteresis of 50 ppm between bands."
3011,Sensors / Environmental Monitoring,"Control a fan with three speeds using the higher demand from temperature and humidity: speed 1 when temp > 28 [degC] or RH > 65 [%], speed 2 when temp > 32 [degC] or RH > 75 [%], speed 3 and alarm when temp > 38 [degC] or RH > 85 [%]."
3012,Sensors / Environmental Monitoring,Calculate heat index from temperature [degC] and humidity [%] and trigger a heat-stress alarm if heat index > 40 [degC]; include a 30 s delay before clearing.
3013,Sensors / Environmental Monitoring,"Ignore the first 10 s of sensor readings after power-up, then start monitoring temperature [degC] and humidity [%] with thresholds; any reading outside 0-100 [%] or -40 to 85 [degC] must be treated as invalid and raise a sensor fault alarm."
3014,Sensors / Environmental Monitoring,Apply a moving average over the last 8 samples of ambient light; turn on a darkness indicator when the average < 100 lux for at least 5 consecutive samples; turn off when the average > 150 lux.
3015,Sensors / Environmental Monitoring,Sample humidity at 10 Hz and assert a high-humidity alarm when at least 7 of the last 10 samples exceed 80 [%]; clear when at least 7 of the last 10 are below 75 [%].
3016,Sensors / Environmental Monitoring,"Monitor a safe operating envelope: temperature between 10 and 40 [degC] and pressure between 980 and 1030 hPa; if outside, latch an environmental alarm and record which boundary was violated."
3017,Sensors / Environmental Monitoring,"Detect sensor stuck-at faults: if temperature reading does not change by at least 0.1 [degC] over 5 minutes while humidity varies, raise a stuck temperature sensor alarm and drive outputs to a safe state."
3018,Sensors / Environmental Monitoring,Raise a rapid humidity rise alert if RH increases faster than 10 [%]/min; clear after 10 minutes of stable readings.
3019,Sensors / Environmental Monitoring,"Use ambient light to select mode: Day if > 1000 lux, Night otherwise; in Night mode, tighten the high-humidity alarm threshold to 70 [%] instead of 80 [%]."
3020,Sensors / Environmental Monitoring,"Implement latching alarm logic for temperature > 60 [degC]; once tripped, the alarm stays on until a manual reset is pressed and temperature has fallen below 55 [degC]."
3021,Sensors / Environmental Monitoring,"Maintain relative humidity within 45-55 [%] by toggling a fan: when RH > 55 [%], run the fan for 2 minutes; when RH < 45 [%], keep the fan off; otherwise pulse 10 s on and 50 s off."
3022,Sensors / Environmental Monitoring,"Sample temperature and humidity at 5 Hz with a processing WCET of 2 ms per cycle; if the cycle ever overruns, raise a timing alarm and disable nonessential indicators to stay within budget."
3023,Sensors / Environmental Monitoring,Only assert a poor air alarm when both CO2 > 1200 ppm and PM2.5 > 25 ug/m3 for at least 60 s; clear when either drops below its threshold for 60 s.
3024,Sensors / Environmental Monitoring,"Implement a PID controller to maintain ambient temperature at 25 [degC] with anti-windup and actuator saturation. Run at 20 Hz with a WCET <= 1 ms. If temperature exceeds 80 [degC], cut power and latch a safety alarm requiring manual reset."
3025,Sensors / Environmental Monitoring,Read three RH sensors; use the median value [%] for control; raise a sensor fault alarm if any sensor deviates by more than 8 [%] from the median for longer than 30 s.
3026,Sensors / Environmental Monitoring,"Fuse two humidity sensors (RH1 and RH2) in [%] using outlier rejection: if their difference is <= 5 [%], use their average; otherwise trust the lower value and raise a sensor discrepancy alarm."
3027,Sensors / Environmental Monitoring,Apply a Kalman filter to barometric pressure (hPa) with temperature [degC] as a known input affecting process noise; estimate smoothed pressure and raise a rapid drop alarm when the filtered pressure slope is below -0.3 hPa/min for 10 minutes.
3028,Sensors / Environmental Monitoring,"Compute a composite air quality score from CO2 (ppm), PM2.5 (ug/m3), and humidity [%], mapping to levels Good, Moderate, and Unhealthy. Latch Unhealthy when CO2 > 1500 or PM2.5 > 55 or RH < 25 [%] or RH > 85 [%]; require manual reset and a 10-minute safe window before clearing."
3029,Sensors / Environmental Monitoring,"Develop a fault-tolerant monitoring loop running at 10 Hz with a 3 ms WCET. If any sensor misses two consecutive updates, enter a Safe state that disables actuators and asserts an alarm until recovery is verified for 30 s."
3030,Sensors / Environmental Monitoring,"Use PID control on fan speed to keep CO2 below 800 ppm while also limiting RH to <= 65 [%]. Prioritize CO2; if RH exceeds 80 [%], override to maximum fan and raise a high-humidity alarm."
3031,Sensors / Environmental Monitoring,Monitor temperature slew rate and alarm on dangerous ramps: assert if dT/dt exceeds +5 [degC]/min or -5 [degC]/min for at least 10 s; include rate limiting on alarm toggling to avoid chatter.
3032,Sensors / Environmental Monitoring,Compensate RH readings for sensor self-heating using temperature [degC] with a configurable bias curve. Alarm if compensated RH goes outside 0-100 [%] or if the compensation exceeds 5 [%].
3033,Sensors / Environmental Monitoring,"Implement adaptive sampling: when |dT/dt| < 0.2 [degC]/min and |dRH/dt| < 1 [%]/min, sample at 1 Hz; when thresholds are exceeded, sample at 10 Hz. Guarantee processing WCET under 2 ms at 10 Hz; if violated, fall back to 5 Hz and raise a timing warning."
3034,Sensors / Environmental Monitoring,"Fuse three temperature sensors with a variance-weighted average. Update weights every minute; if any sensor deviates by more than 3 [degC] from the fused estimate for over 30 s, flag it as faulty and exclude it until it stays within 1 [degC] for 5 minutes."
